station_prefix_id,prefix,station_name,station_type_id,city_id,city,cod_ibge,latitude,longitude,station_owner,ugrhi_id,ugrhi_name,ugrhi_cod,subugrhi_name,subugrhi_id,subugrhi_cod,transmission_type_name,measurement_gap,param_type,measurement_classification_type_id,public,qtd,value,read_value,max_value,min_value,min_date,max_date
838,4D-046,Americana (Ribeirão Quilombo- Av. Saudade),1,23,Americana,3501608,-22.734681,-47.32771,SAISP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Alto Piracicaba,28,54,WEBSERVICE,10,,3,True,6,192.56666666666663,8.832333333333334,192.79999999999998,192.4,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
841,4D-049,Piracicaba (Rio Corumbataí Captação SEMAE),1,519,Piracicaba,3538709,-22.632678650746673,-47.67757952213288,SAISP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Corumbataí,65,55,WEBSERVICE,10,,3,True,6,128.15,18.832333333333334,128.4,127.89999999999999,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
843,4D-051,Monte Mor (Rio Capivari Mirim),1,33,Monte Mor,3531803,-22.968518,-47.288739,SAISP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Capivari,69,58,WEBSERVICE,10,,3,True,6,113.15000000000002,1.2853333333333332,113.3,112.99999999999999,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
845,4D-050,Monte Mor (Rio Capivari Sabesp),1,33,Monte Mor,3531803,-22.954718,-47.321339,SAISP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Capivari,69,58,WEBSERVICE,10,,3,True,6,52754.549999999996,9.652666666666667,52754.899999999994,52754.3,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
850,4E-035,Salto (Rio Jundiaí),1,39,Salto,3545209,-23.195369,-47.268596,SAISP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Jundiaí,70,57,WEBSERVICE,10,,3,True,6,129.53333333333333,15.418833333333334,129.6,129.4,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
854,104,São Paulo (Corrego Tijuco Preto Av. Marechal Tito),1,1,São Paulo,3550308,-23.491395665118596,-46.38660015232233,SAISP,7,ALTO TIETÊ,6,Montante da Barr. da Penha,78,61,WEBSERVICE,10,,3,True,6,73808.61666666668,,73808.90000000001,73808.3,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
856,105,Itaquaquecetuba (Corrego Tres Pontes Av. Marechal Tito),1,422,Itaquaquecetuba,3523107,-23.484523,-46.37700,SAISP,7,ALTO TIETÊ,6,Montante da Barr. da Penha,78,61,WEBSERVICE,10,,3,True,6,73194.43333333333,,73195.2,73193.2,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
858,108,São Paulo (Corrego Guaratiba ponto 1- R. Andreas Raselius),1,1,São Paulo,3550308,-23.560429,-46.419195,SAISP,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,6,75653.65,,75654.4,75653.0,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
859,109,São Paulo (Corrego Guaratiba ponto 2),1,1,São Paulo,3550308,-23.555972,-46.420660,SAISP,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,6,75295.00000000001,,75296.40000000001,75293.9,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
863,137,São Paulo (Córrego Água Espraiada - Rua Rib. do Vale PMSP/SA-03),1,1,São Paulo,3550308,-23.61511,-46.68977,SAISP,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,6,72124.09999999999,,72126.09999999999,72121.5,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
